id,petition_title,signature
615422,Review accessibility to primary care and face to face appointments with GPs,477
614487,The Vegan Petition - Ban Animal Agriculture and Animal Products,472
622146,Ban water companies discharging raw sewage into the sea,470
612398,"Justice for children incorrectly labelled ""educationally subnormal"" in 1960s/70s",467
617061,Do not reform UK data protection laws (GDPR),462
616740,Implement a policy whereby pensioners receive free dental treatment,459
618038,Reduce tax on fuel for domiciliary and community care nurses,457
615604,Increase funding to early years settings which support children with SEN,449
611719,Require workplaces offer women paid menstrual leave,449
619171,Reduce or remove VAT from sales of Automated External Defibrillators (AED),447
616968,Require schools teach students about knife crime in Year 8 and 9,447
616309,Allow unrelated children to enter UK with Ukrainian families,442
616310,Require all electrical installations to be carried out by qualified electricians,440
613101,Do not implement a tracking-based road tax system,438
618911,Tighter restrictions on companies marketing vape kits at children & young people,429
615481,End military aid to Ukraine to avoid the risk of nuclear war with Russia,429
621446,Require cyclists to be registered and have third-party insurance,428
621546,Create a regulator for veterinary services,427
618774,Fund extension of 16-17 Railcard to 18 year olds in full-time education,426
614729,Require a Prime Minister be removed from office if found to have broken the law,426
613518,Ban LGBT+ Conversion Therapy,420
611451,Fund extension of NHS LSF bursary for paramedic students with a first degree,413
615500,Require men over the age of 50 to be invited for a PSA test,408
616891,Suspend major development applications on green belt and protected land,398
620283,Entertainment for Everyone Charter: Stop Disability Discrimination at Festivals,390
621245,Make Plan 2 Student Loans fair by capping the interest rate at 1.5%.,389
611299,Set up a funding scheme for scientists fleeing the war in Ukraine,383
622838,Mandatory for all music festivals to offer free anonymous drug testing,380
619230,Increase awareness of the dangers of swimming in lakes and rivers,373
618421,Halve fuel duty and remove VAT on fuel prices.,371
619159,Decriminalise abortion,369
611910,Fund free air travel to the UK for Ukrainian refugees,368
611907,Repeal the Climate Change Act 2008,368
611732,Stop all post Brexit payments to the EU,367
621238,Fund all costs of individuals who enter the UK illegally from foreign aid budget,366
616145,‘Ralphy’s Law’ – Require hunting dog breeds to be muzzled in public,362
615739,Remove 5% VAT rate on gas and electric bills,361
617182,Make recommended size cages law for small animals to stop inadequate housing,357
620975,Give businesses the right to opt out of Business Improvements District levies,351
616009,Require local support services for families affected by substance abuse,346
618424,Make bars and clubs in the UK legally provide drink covers.,344
608495,Review medical care and treatment for babies with failure to thrive,343
618896,Make VAT on Second Hand clothing zero rated,340
614375,Review how patients are diagnosed and treated under the Mental Health Act,338
610997,Introduce grants for home battery storage systems,338
614358,Increase long-term funding for NHS services for homeless people,336
620016,If a Prime Minister resigns a general election should be called,331
614779,Decriminalisation of Marijuana and THC products for Medical and Recreational use,331
613969,Extend statutory paternity pay to the self-employed,331
621755,Make children under three who are disabled eligible for Blue Badges,318
616082,Bring forward the April 2023 State Pension increase,317
614397,Make it a requirement to label processed meats as a Group 1 carcinogen,316
623230,Fund a national screening programme for Prostate Cancer,314
620300,Require binding referendums on petitions that receive over 1 million signatures,314
617218,Hold a referendum on England becoming independent from the UK,314
613981,Mandatory life sentence for involvement in trafficking women & children for sex,309
614458,Mandatory pregnancy warnings on all alcohol containers,307
612170,Add Vehicle Trades (523) occupations to Shortage Occupations List,304
610793,Ease entry restrictions for companion animals of Ukrainian refugees,302
621127,Provide safe passage to the UK for unaccompanied child refugees,295
616260,Fund improved diagnostic pathways and support for neurodivergent children,294
621562,Appoint an Adult Mental Health Ambassador and Adult Mental Health Group,292
619250,Increase funding for diagnosis and treatment of speech and language needs,292
611864,Review the role of juries in rape trials.,292
618068,Change the law so that UK citizens can call a General election,291
614234,"Make using ""Z"" to show support for the invasion of Ukraine a criminal offence",291
620744,Make helmets a legal requirement for all self-propelled vehicles,285
614004,Make teaching of age-appropriate sex education compulsory from Year 6,282
612738,Reform UK passport application tracking and options to fast-track applications,281
618566,Decriminalize the TV Licence fee,278
611817,Make it illegal to strip search under 18s without their choice of adult present,278
618229,Review passenger rights and airline practice following disruption to flights,274
619267,Public inquiry into treatment of people with mental health issues by the DWP,272
617509,Improve GCSE structure: More focus on coursework rather than the final exams,269
616943,"Legally recognise genders such as Non-binary, Genderqueer and Intersex",268
611674,Extend ‘Harper's Law’ to include social workers,268
621075,End need for a TV licence to view online streaming content not funded by licence,264
618195,Increase TfL emergency funding to help protect bus routes in London,263
612308,Grant all Ukrainians living in the UK for 5 years Indefinite Leave to Remain,261
611341,Extend Ukraine Family Scheme to all Ukrainians on UK work and student visas ,261
611758,Extend Help to Buy scheme to people who have previously owned a home abroad,256
616910,Hold a national referendum on legalising and decriminalising cannabis.,252
622937,Provide funding for suitable infrastructure for people living in vehicles,251
616399,Make the spaying and neutering of pet cats a legal requirement,249
613321,Reform arrangements for practical driving tests to tackle backlog,246
611981,Make LFTs free for people who need to see clinically vulnerable friends & family,245
618008,Start free childcare from child's 3rd birthday not the term after,243
611729,Require schools close at 1pm on Friday so Muslims can go to mosque,242
610661,"Allow Ukrainians, Russians, Belarussians to extend tourist visas beyond 180 days",240
621634,Recall Parliament to consider the Energy Price Cap Increase (Cancellation) Bill,239
622847,Create statutory legal duty of care for students in Higher Education,238
617133,Implement Universal Basic Income to provide  for every citizen.,237
614178,Ban umbrella companies charging employees Employers NI,236
620746,Require under 18s be sentenced as adults for all serious offences,233
617119,Allow Driving theory test to expire three years instead of two,232
612211,Extend the help to buy scheme beyond March 2023,232
612163,Require all ships operating out of UK ports to apply UK employment law,228
622551,Ban the release of any untreated raw sewage and separate rainwater from sewage,225
617514,Urgently review Advisory Electricity Rate (AER) for fully electric company cars,222
619283,Fund bowel cancer screening from age 30,221
617716,Commission a review into police handling of allegations of spiking,220
615509,Require foetal scanning to be offered all women prior to an abortion,219
623077,Extend any caps on social housing rent increases to park homes,217
615190,Request a Royal Pardon for the Pendle Witches hung in August 1612,216
614616,Require council tax discounts for dementia are backdated to the diagnosis date,216
614488,Seek to replace Russia with Ukraine in the Security Council.,215
616754,Increase funding for NHS transgender services,213
622704,Provide interest-free Renewable Energy Assistance Loan during energy crisis.,212
610995,Extend the Ukraine Family Scheme to non-Ukrainian nationals fleeing Ukraine,211
621998,Require the use of body cameras and regular assessment for doorstaff/bouncers ,207
615224,Require age-verification for hook-up apps and websites,204
622856,Make it illegal to sell nitrous oxide to anyone under the age of 21,203
610792,Extend family visas for non-UK parents when health and social care paid by child,203
619232,Create a higher rate of Carer's Allowance for people providing 70+ hours care,201
614293,Require schools allow students to wear PE kit for whole day on PE days,201
619561,All children in receipt of Universal Credit to receive free school meals,200
618653,Include siblings and cousins in reunion rules for pre- and settled status,200
616119,Ban fur farming,200
619840,Increase legal protections for people undergoing cosmetic surgery,199
618215,Create an Accessible and Inclusive Parks Fund,198
622396,Increase the HMRC Mileage Rate from 45p/mile to 60p/mile,196
612068,Provide free bus passes for all over 60's,196
618181,Increase protections for new home owners against snags and defects,195
621859,Require training on Autism for everyone who is in a childcare profession,193
612043,Create new rights for breastfeeding mothers in the workplace,193
617682,Require airlines to refund the full cost of cancelled flights automatically.,192
618978,"Ban petrol leaf blowers which harm human health, animals and the environment",191
614106,Hold a public inquiry into treatment of care home residents during the pandemic,191
619976,"Public Inquiry into the loss of HMS Glorious, Acasta and Ardent",189
617801,Ban the sale and use of fake grass,188
621596,Reform child maintenance to consider income and outgoings of both parents,187
621188,Fund extra provision of 1-to-1 childcare for SEND children under the age of 2,186
620251,"Add option to vote for "" None of the above"" in all elections",185
618192,Fund annual health checks for all adults,185
615707,Require trigger warnings for all broadcasts related to sexual violence,184
617316,Stop culling badgers now,183
616915,Subsidise a 'basic' amount of electricity for households,183
607947,Introduce a fast-track divorce procedure for victims of domestic abuse,182
615674,"Make it illegal to import, sell or release sky lanterns",180
621878,We want Cognitive Behavioural Therapy (CBT) to be a protected profession.,179
614239,End the TV licence and sell the BBC,179
613767,Review guidance on use of masks in residential care homes,179
615112,Advanced Nurse Practitioner (ANP/ACP) to Sign Sick note/Med3 Certificate,177
612379,Set stricter legal targets for air quality and increase funding for research,177
621657,Fund private mental health care for people with mental health issues,176
612259,Require and fund training on autism for all staff in mainstream schools,175
618875,Ban anyone born after 2008 from buying any tobacco products in their lifetime,174
618139,Publish information in Easy Read at the same time as non Easy Read information.,174
621643,Ban import of all Israeli goods produced in 'the disputed territories',173
618554,Reduce ATAS processing time,172
616373,Require Ukrainian children be offered school places within 14 days of arrival,170
618171,Increase Mileage allowance from 45p per mile to 75p per mile,169
620891,Urge Israel to overturn new entry procedure for foreign visitors to Palestine,168
615950,Make it illegal to disclose personal information from an inquest without consent,167
615863,Support unaccompanied children to enter UK through the Homes for Ukraine scheme,167
616376,Strengthen CMS requirements on Receiving Parents and enforcement powers,164
615321,"Fund all care needs for dementia sufferers, including care home costs",164
620941,Make child abusers and child murderers ineligible to appeal sentences,163
611193,Ban the manufacture and sale of plastic bottles,163
618299,Allow drivers to change the spacing on their number plates,161
613656,Extend the Service Pupil Premium (SPP) to Early Years Foundation Stage (EYFS),161
620132,Recognise the Isaaq Genocide,160
615854,Fund training on helping women with endometriosis for NHS staff,160
612384,License hunting in the UK with Compound bows and Cross bows,160
622974,Launch an independent Public Inquiry into Government & NHS Covid-19 spending,158
617227,Raise the income tax personal allowance to £15000 immediately,158
621407,Reform energy pricing and taxes to better protect lower income households,156
616108,Hold a referendum on sending deadly weapons to Ukraine,155
614888,An MP found guilty of breaking any law is automatically subject to recall.,155
612151,Stop schools from banning clothing associated with particular religions,155
614516,Include Hospitality as an option on the Temporary Work - Seasonal Worker visa,154
622385,Require motorcycle riders to wear protective clothing and footwear.,153
616332,Ban the sale and use of prong/pinch and shock collars.,153
617759,Review 'Know Your Customer' guidance and requirements for financial institutions,152
621344,Ban the production and use of domed lids on takeaway cups to protect wildlife,151
617588,Reform arrangements for restraining orders against convicted domestic abusers,151
611550,Extend ‘Homes for Ukraine’ scheme to ALL refugees and asylum seekers,151
617415,Cancel the energy bill rebate for second homes,150
616635,Require the NHS have separate gynaecology units for women who are not pregnant,150
614340,Include migraine on the list of medical exemptions for free prescriptions.,150
616060,Require all pregnant women to be offered APS 'sticky blood' testing,148
618347,Hold a referendum on whether capital punishment should be restored,147
621644,Ban automatic disconnection of people on Pay As You Go Energy Meters,145
612467,Require clear sugar and fat warnings on front and back of food packaging,145
621443,Remove gender and sex markers from government documents (other than healthcare),142
617729,"Address the Energy, Climate and Environment crisis by investing in Renewables",142
610860,Hold a referendum on the UK meeting net zero much earlier than 2050.,142
617418,Remove VAT on domestic energy bills now.,140
620030,Review handling of rape and sexual offences committed by under 18s,138
621651,Inquiry into sale of all previously publicly-owned British infrastructure,137
618942,Fund free NHS parking permits for student nurses and midwives,137
617573,Require all new builds to have solar panels as condition of planning permission,137
612418,End weight checks for primary school aged children,137
611816,Create a right for all employees to have essential work travel expenses covered,136
619399,"Scrap university fees for doctors, nurses, etc providing they finish the course.",135
614968,Make female hormone health a compulsory part of the curriculum starting age 10,135
610911,Do not raise VED on Motorcycles,135
620776,"Ban the words ""plant"", ""grass"" & ""tree"" when used to sell plastic substitutes",134
619181,Require health professionals notify DVLA of all 'notifiable' medical conditions,132
615671,Ensure domestic abuse survivors are better protected by CMS post-review,132
614134,Review and increase the income thresholds for Free School Meals,132
614352,Make it mandatory for restaurants to donate left-overs to local food banks.,131
621602,Inquiry into Ofgem to determine if it is fit for purpose,130
614594,Ban non-compostable multi-layer material food packaging by 2030,128
621368,Remove Relationships Education from the primary school curriculum,127
622198,Undertake a public inquiry into mental health/suicide prevention/treatment,125
614591,Limit details of non-molestation orders being shared with perpetrators,125
619098,Set up sufficient abortion services in Northern Ireland,124
614597,Exempt Zimbabweans from English Language test visa requirements.,123
611672,Do not introduce a pay per mile road tax,121
610977,Make Graduate Visa Count Towards Settlement,120
620876,Establish and Maintain an Aerial firefighting capability to combat wildfires,119
619430,Extend ‘qualifying school’ criteria for free school bus travel,119
616339,Make it an offence to intentionally view pornographic material in a public place,119
618805,Make it mandatory for Police & CPS to provide counselling to ALL victims of CSA,118
622081,Remove requirements for certified installation to access Smart Export Guarantee,117
614084,Impose sanctions on Qatar in light of human rights concerns,117
609032,Make releasing helium balloons and sky lanterns a specific littering offence,117
616646,Stop MLA's pay in Northern Ireland until the Executive is formed,116
610420,Ban import and sale of diamonds from companies owned by the Russian Federation,116
613896,Set minimum rate for energy companies to pay people who export excess energy,115
620911,Fund increase number of NHS mental health inpatient beds,113
617045,Require publishers to display trigger warnings on title pages of books,113
615418,Require CCTV in all underpasses and train station tunnels,113
614617,"Cyclist must wear a helmet, hi-vis and have lights on their bike.",111
611070,Return the Chagos Islands to Mauritius,111
618006,Let all airlines allow pets in the airplanes' cabin to and from the UK.,110
620295,Mandatory Mental Health Training for all educational and early years staff,108
613722,Review assessment of autistic students to ensure they are not disadvantaged,107
612255,Ban the sale of rabbit cages under 8 square feet,107
610647,Increase NHS Staff pay by 10%,107
617274,Remove the ban on prisoners voting from the Representation of the People Act,106
616815,Increase blood test threshold for driving with cannabis in the body,106
610487,UK should recognise Somaliland as an independent country,106
620064,Protect SIA-licensed security workers under Assaults on Emergency Workers Act,104
621957,"Require MPs to disclose all shares in energy companies, regardless of size",103
621540,Expand the citizenship subject content on Human Rights,103
617332,Increase penalties for dog attacks on other dogs or people,103
615474,Work internationally to create fully digital animal export/import certification ,103
614328,"Require carbohydrates be listed on menus in cafes, restaurants and takeaways",103
611496,Make All Animal Hunting Illegal,103
617446,Establish a not-for-profit state owned energy provider,101
621973,Fund research on Chronic Lyme and other tick born diseases coexisting with it.,100
614009,Abolish no recourse to public funds (NRPF) visa conditions,100
619484,Limit rent charges on new shared ownership properties to ground rent,99
619166,Introduce a ‘Transparency Law’ requiring social workers to wear body cameras,99
615807,Change DLA to PIP age from 16 years old to 18 years old,99
615264,Require all educational establishments to have CCTV outside toilets,99
611292,Ensure households housing refugees do not lose the 25% single person discount,99
621824,Suspend school uniform for 12 months,98
620976,Make all unwanted online sexual communication a criminal offence,98
621636,Require broadcasters to provide subtitles & audio description of all programmes,97
619064,Fund research and awareness campaign on Pelvic Organ Prolapse,97
